type,entry,exit,profit_pct,qty,confidence
TP1,159.99,164.7897,3.0000000000000004,0.3,0.6652025715892751
TP2,159.99,167.98950000000002,5.000000000000007,0.21,0.7559515827985139
TP3,159.99,171.18930000000003,7.000000000000013,0.196,0.7559515827985139
TP1,183.82,189.3346,3.000000000000001,0.3,0.819901346571749
TP2,183.82,193.011,5.000000000000002,0.21,0.7998296846228101
TP3,183.82,196.6874,7.000000000000002,0.196,0.7998296846228101
TP1,196.36,202.25080000000003,3.0000000000000067,0.3,0.6962051046960575
TP2,196.36,206.17800000000003,5.000000000000006,0.21,0.5770031524080285
TP3,196.36,210.10520000000002,7.000000000000004,0.196,0.5849739178769434
SL,211.12,203.18,-3.7608942781356562,1.0,0.8441727795444937
TP1,205.22,211.3766,2.9999999999999987,0.3,0.5432655174651748
TP2,205.22,215.481,4.999999999999998,0.21,0.5432655174651748
TP3,205.22,219.58540000000002,7.000000000000011,0.196,0.5470601529103486
TP1,215.03,221.48090000000002,3.0000000000000084,0.3,0.5953353779455371
TP2,215.03,225.78150000000002,5.00000000000001,0.21,0.5953353779455371
TP3,215.03,230.08210000000003,7.0000000000000115,0.196,0.5953353779455371
TP1,237.64,244.76919999999998,2.999999999999999,0.3,0.566664598853268
TP2,237.64,249.522,5.000000000000003,0.21,0.4752831689792192
TP3,237.64,254.2748,7.000000000000006,0.196,0.7571723282506402
SELL,237.64,256.38,7.88587779835045,0.294,0.7571723282506402
SL,234.18,227.73,-2.7542915705867355,1.0,0.8334770948699547
TP1,227.36,234.18080000000003,3.0000000000000084,0.3,0.8573959447826107
TP2,227.36,238.72800000000004,5.00000000000001,0.21,0.7825503500136933
SELL,227.36,241.97,6.425932441942288,0.49,0.7006227600392801
TP1,223.97,230.6891,2.9999999999999987,0.3,0.6879335941644765
TP2,223.97,235.1685,4.999999999999998,0.21,0.6921836099594261
TP3,223.97,239.64790000000002,7.000000000000011,0.196,0.5473958349782705
SL,216.62,206.55,-4.648693564767793,1.0,0.8549916144379639
TP1,212.09,218.45270000000002,3.0000000000000084,0.3,0.7351261854304103
TP2,212.09,222.6945,5.000000000000001,0.21,0.7191084900250958
TP3,212.09,226.93630000000002,7.000000000000006,0.196,0.5828167148904828
TP1,181.51,186.9553,3.0000000000000018,0.3,0.7367485785513065
TP2,181.51,190.5855,5.000000000000003,0.21,0.5485803225425495
TP3,181.51,194.2157,7.000000000000004,0.196,0.7428418688422621
SELL,181.51,197.79,8.969202798743872,0.294,0.7428418688422621
TP1,190.07,195.7721,3.000000000000001,0.3,0.602969331502541
SL,190.07,189.31,-0.3998526858525759,0.7,0.7709598585662912
TP1,190.42,196.1326,3.000000000000005,0.3,0.5115579671027968
TP2,190.42,199.941,5.000000000000008,0.21,0.6895935462041447
TP3,190.42,203.7494,7.0000000000000115,0.196,0.6895935462041447
TP1,208.52,214.77560000000003,3.000000000000007,0.3,0.6152690284998955
SELL,208.52,212.79,2.04776520237866,0.7,0.830372708506176
SL,246.27,237.86,-3.414951069963859,1.0,0.8855362661484619
